timestamp,frame_number,processing_time,detections_count,tracks_count,fps,in_count,out_count,current_inside
2025-09-24T17:57:11.172129,0,0.6516420841217041,0,0,1.5345847427085981,0,0,0
2025-09-24T17:57:11.275377,1,0.053269147872924805,0,0,18.772592390355687,0,0,0
2025-09-24T17:57:11.336203,2,0.0484771728515625,0,0,20.628265659427132,0,0,0
2025-09-24T17:57:11.403362,3,0.052124977111816406,0,0,19.18466070219734,0,0,0
2025-09-24T17:57:11.481212,4,0.05142521858215332,0,0,19.445712192792534,0,0,0
2025-09-24T17:57:11.547742,5,0.04415416717529297,0,0,22.647918961532646,0,0,0
2025-09-24T17:57:11.605868,6,0.040505409240722656,0,0,24.688060650295483,0,0,0
2025-09-24T17:57:11.709534,7,0.04217028617858887,0,0,23.713379505300352,0,0,0
2025-09-24T17:57:11.763337,8,0.04290628433227539,0,0,23.306609173047644,0,0,0
2025-09-24T17:57:11.825586,9,0.039624691009521484,0,0,25.236789853066824,0,0,0
2025-09-24T17:57:11.904790,10,0.04460334777832031,0,0,22.41984177891811,0,0,0
2025-09-24T17:57:11.964986,11,0.03921937942504883,0,0,25.497598755000062,0,0,0
2025-09-24T17:57:12.027838,12,0.04155230522155762,0,0,24.06605348771825,0,0,0
2025-09-24T17:57:12.110074,13,0.04152083396911621,0,0,24.08429466382622,0,0,0
2025-09-24T17:57:12.170593,14,0.041776418685913086,0,0,23.936948916523516,0,0,0
2025-09-24T17:57:12.231514,15,0.04117727279663086,0,0,24.285241155694518,0,0,0
2025-09-24T17:57:12.298274,16,0.03814101219177246,0,0,26.218496640100014,0,0,0
2025-09-24T17:57:12.349589,17,0.04245591163635254,0,0,23.55384589466118,0,0,0
2025-09-24T17:57:12.400669,18,0.03804349899291992,0,0,26.285699961144605,0,0,0
2025-09-24T17:57:12.466663,19,0.042728424072265625,0,0,23.40362467636818,0,0,0
2025-09-24T17:57:12.528059,20,0.04225564002990723,0,0,23.665479904983833,0,0,0
2025-09-24T17:57:12.589642,21,0.041849613189697266,0,0,23.89508346151655,0,0,0
2025-09-24T17:57:12.645204,22,0.03808760643005371,0,0,26.255259747982798,0,0,0
2025-09-24T17:57:12.712073,23,0.04003262519836426,0,0,24.979625868774157,0,0,0
2025-09-24T17:57:12.772251,24,0.04072690010070801,0,0,24.55379607893643,0,0,0
2025-09-24T17:57:12.833612,25,0.03885078430175781,0,0,25.739506112229368,0,0,0
2025-09-24T17:57:12.895688,26,0.03768491744995117,0,0,26.535815059913197,0,0,0
2025-09-24T17:57:12.960293,27,0.040823936462402344,0,0,24.495432989931555,0,0,0
2025-09-24T17:57:13.022458,28,0.04058074951171875,0,0,24.642225982327506,0,0,0
2025-09-24T17:57:13.084528,29,0.042120933532714844,0,0,23.741164217628548,0,0,0
2025-09-24T17:57:13.146090,30,0.041481971740722656,0,0,24.10685794422604,0,0,0
2025-09-24T17:57:13.211890,31,0.041526079177856445,0,0,24.081252547754243,0,0,0
2025-09-24T17:57:13.273147,32,0.04275870323181152,0,0,23.38705162732864,0,0,0
2025-09-24T17:57:13.329649,33,0.037812232971191406,0,0,26.44646775454614,0,0,0
2025-09-24T17:57:13.406944,34,0.04290199279785156,0,0,23.308940559285112,0,0,0
2025-09-24T17:57:13.455886,35,0.03822731971740723,0,0,26.15930197022521,0,0,0
2025-09-24T17:57:13.520440,36,0.040071725845336914,0,0,24.955251587107984,0,0,0
2025-09-24T17:57:13.611908,37,0.039769649505615234,0,0,25.1448029447382,0,0,0
2025-09-24T17:57:13.677772,38,0.04451394081115723,0,0,22.464872392276586,0,0,0
2025-09-24T17:57:13.734564,39,0.038524627685546875,0,0,25.95742152688385,0,0,0
2025-09-24T17:57:13.817093,40,0.037950992584228516,0,0,26.34977195341065,0,0,0
2025-09-24T17:57:13.872424,41,0.038781166076660156,0,0,25.785712529202016,0,0,0
2025-09-24T17:57:13.934911,42,0.03843069076538086,0,0,26.020869781003785,0,0,0
2025-09-24T17:57:14.010340,43,0.03959083557128906,0,0,25.258370670135378,0,0,0
2025-09-24T17:57:14.064763,44,0.04257392883300781,0,0,23.4885533802249,0,0,0
2025-09-24T17:57:14.121539,45,0.039733171463012695,0,0,25.167887766796877,0,0,0
2025-09-24T17:57:14.215433,46,0.03746390342712402,0,0,26.692360072549082,0,0,0
2025-09-24T17:57:14.281001,47,0.042180538177490234,0,0,23.70761595767531,0,0,0
2025-09-24T17:57:14.342288,48,0.03984260559082031,0,0,25.098760112978123,0,0,0
2025-09-24T17:57:14.409170,49,0.03831601142883301,0,0,26.09874991444163,0,0,0
2025-09-24T17:57:14.468430,50,0.04116010665893555,0,0,24.29536950150025,0,0,0
2025-09-24T17:57:14.522997,51,0.042556047439575195,0,0,23.498422907340903,0,0,0
2025-09-24T17:57:14.614963,52,0.03761935234069824,0,0,26.582063161096922,0,0,0
2025-09-24T17:57:14.664516,53,0.03769946098327637,0,0,26.525578189131245,0,0,0
